v_id,v_name,v_dist,v_cat
4f32aad119836c91c7ee065e,Kawah Chinese Restaurant,603,Chinese Restaurant
4fe48299e4b06b1c063a2c33,National Coffee Shop,948,Coffee Shop
4bff3cf9ca1920a1b598ec81,Nicky's Pizza & Ristorante,438,Pizza Place
5830e68792789f1ed0ecee28,Tequilaz Restaurant Lounge,566,Mexican Restaurant
4efb614ae3009306739d1e5d,Rochambeau Restaurant (Bill's),510,Caribbean Restaurant
4c829bd62f1c236a803f3b43,Ten Tan Chinese Restaurant,580,Tanning Salon
4dd02b28d4c065592fa9a7fb,El Valled Restaurant,622,Latin American Restaurant
4ebc16ae0aafea6482ae0207,Rochambeau West,526,Indian Restaurant
4f32a43719836c91c7eb8ca1,El Rey Del Bistec Restaurant,449,Food
4e6aa73eaeb7c31e43294be9,Sing Fei Chinese Restaurant,411,Chinese Restaurant
4f270c44e4b01dc94e302542,Oasis restaurant,535,Spanish Restaurant
4f32a99219836c91c7ed90f4,Hing Fong Restaurant,524,Food
4f0b1638e4b000dd7818e8fe,Sing Wok Kitchen,598,Chinese Restaurant
4ab7a594f964a5204d7a20e3,Gary & Gino's Pizzeria,980,Pizza Place
4c5db38e6ebe2d7faca1d32e,Rocco's Pizza Restaurant,1138,Pizza Place
4e74ebead1643f93b1b05d2c,Queen of Tacos,493,Mexican Restaurant
4bf1c48b189f0f47cfa7b762,Golden Ring Restaurant,470,Caribbean Restaurant
4c3a5b280a71c9b6762844c9,Wok Wok,502,Chinese Restaurant
4f3292f519836c91c7e50e48,New Restaurant,613,Food
4c47765e19fde21e88630876,New China-Chinese Restaurant,561,Chinese Restaurant
4e4ce18dbd413c4cc66ceaf2,Right Taste Caribbean Restaurant,978,Caribbean Restaurant
4e302cfee4cdb5a70d6fa8bf,Mario's Pizzeria & Restaurant,494,Pizza Place
5b62cbb27e4b4e002415ec21,Obaapa African Restaurant,693,African Restaurant
4bfdc548f61dc9b624959fde,Drillonas Pizzeria Restaurant,656,Pizza Place
4e4d0387bd413c4cc66dfd72,Hung Hing Chinese Restaurant,914,Chinese Restaurant
4afac66af964a520a11822e3,Jerome's Pizza,933,Pizza Place
4f328c3919836c91c7e28074,Waj Kang Take Out Restaurant,921,Food
4f32795f19836c91c7db50e6,Lacabina Restaurant,1104,Food
4e4dd9a0bd4101d0d79cbbe1,Coconut Palm Restaurant - Bar & Grill,1131,American Restaurant
4f32a08a19836c91c7ea2a17,El Bandido Restaurant,1129,Food
4f2c6196e4b09e391db6ff35,"Louis Restaurant ""Godfather""",1106,Historic Site
4f32296d19836c91c7bc3f8d,Mikes Pizzeria and Restaurant,1165,Food
577014d2cd1026b7ae4d8490,La Cabaña II Salvadoreña Restaurante,683,Salvadoran Restaurant
4e318986628430b0810ec190,halal food cart,615,Food Truck
4cc9e32041e75481e92c5f84,Roc A Tone Restaurant,509,Seafood Restaurant
4e4df7a5bd4101d0d79f46d2,D'angelo's Italian Pizzeria & Restaurant,594,Pizza Place
4c0e9b28d64c0f478778285d,Richie Rich Caribbean Taste Restaurant,890,Caribbean Restaurant
4f32a4c019836c91c7ebc1ba,R and D's Restaurant,191,Food
4dd1f83de4cd7f7178bf42bd,Chai Hwa Chinese Restaurant,526,Chinese Restaurant
4f32229619836c91c7b98e18,Bus Stop Coffee Shop,657,Coffee Shop
4b60aaa3f964a5200bf329e3,Royal Coach Diner,968,Diner
4d8e883cfa9437048cb905c6,Mango Caribbean Restaurant,913,Restaurant
4f32514b19836c91c7cbdcee,Axum Italian Restaurant,239,Food
4f329d8019836c91c7e909a3,Kosals Coffee Shop,835,Food
4c798a2681bca09332d5fd14,Sing loon,548,Chinese Restaurant
543c78f2498e3726db6faeb2,A&M Cool Carribean Restaurant,638,Caribbean Restaurant
4cffdd0d1ebe6dcb01ed8391,The Pizza Place,905,Pizza Place
4c017807716bc9b61fecbb55,The Good Dine Restaurant,357,Caribbean Restaurant
4f32ad1519836c91c7eedfff,Rainbow Restaurant,656,Food
4e56569d52b12ddfc1df51e0,Laconia Laundromat,747,Laundry Service
4d0d13795c46a09322620cb4,Top Of The Hill Restaurant,420,Caribbean Restaurant
56749e20498ec4fc7cf5850f,Dominican Valle,568,Spanish Restaurant
4f32070a19833175d60b17ca,Flame Bar and Grill Restaurant,548,Food
4f32124d19833175d60dad07,Citytropics Restaurant,560,Food
4e4de612bd4101d0d79dac15,Fish Pot West Indian Restaurant,580,Caribbean Restaurant
4e4de611bd4101d0d79dac0a,Tien Lung,825,Chinese Restaurant
53a346a6498e65f063c5fbc6,nana's african restaurant,590,African Restaurant
4f32703b19836c91c7d7d7a1,Jacarand Restaurant,603,Food
4e4df7a6bd4101d0d79f46dd,Golden China,663,Chinese Restaurant
519a53488bbda10a3eb05945,Pinch Restaurant,622,American Restaurant
4bd8f7180115c9b688197680,Good Taste,855,Asian Restaurant
4f3221c319836c91c7b93857,Food Hut Restaurant and Bakery,657,Bakery
5434ade0498e442d0bc24fc0,Lammy's Restaurant,782,Caribbean Restaurant
4f325b9719836c91c7cfe073,"Krc Restaurant, Grill and Bakery",672,Food
4f327ba919836c91c7dc2d9d,Island Breeze Restaurant,727,Food
4f328e9219836c91c7e36a1e,Yard Style Caribbean Restaurant and Bakery,768,Bakery
4e4dd9a0bd4101d0d79cbbe1,Coconut Palm Restaurant - Bar & Grill,801,American Restaurant
4c686b4e31ba2d7f5dcaf772,Karkajadas Bar Restaurant & Night Club,923,Lounge
4f2c6196e4b09e391db6ff35,"Louis Restaurant ""Godfather""",812,Historic Site
4ba29ed3f964a520e90938e3,H.I.M. Ital Health Food Market,1198,Caribbean Restaurant
5a12131dee71206ae63df58b,El Valle Restaurant,915,Spanish Restaurant
4f0c3503e4b0497598540065,Spanish restaurant,852,Spanish Restaurant
4e4de628bd4101d0d79dae60,Sell Off Restaurant,942,Indian Restaurant
4f2c88c0e4b067066c351756,The Pyramid Bar & Restaurant,888,Other Nightlife
4e4de610bd4101d0d79dabd7,Sweet Pot Jamaican Restaurant,1016,Caribbean Restaurant
4c0d75d37189c928500bd7b6,Mandarin Wok,1078,Chinese Restaurant
4c7937d6bd346dcbd88df4ef,Food Hut,1017,Caribbean Restaurant
4d93c7178deb8cfaacb231c0,Jerry's Pizza,880,Pizza Place
4be2ecf6b02ec9b6a5064ec0,Caridad & Louie,196,Spanish Restaurant
4cd1dfb17b6854812887c9f8,No. 1 Chinese Restaurant,655,Chinese Restaurant
4bba4eeeb35776b0edc4ca01,Nicks Pizza,955,Pizza Place
4cb65dc78db0a1435da06916,Memories Lounge & Restaurant,794,Lounge
4ee799918b81381c2a21569e,C&C Coffee Shop & Deli,820,Spanish Restaurant
4c76709fdb52b1f77c637bdc,C&C Deli And Coffee Shop And Pastry,814,Café
4bb0ebe3f964a5205c6a3ce3,Applebee's Grill + Bar,788,American Restaurant
4b8efe8bf964a520564333e3,Rich Restaurant,800,Chinese Restaurant
4c8e6864b3bcb60cf8575927,NumberOneChineseRestaurant,666,Chinese Restaurant
597e5fda8a6f170227f19f29,Subway restaurant,831,Sandwich Place
