,v_id,v_name,v_dist,v_cat
160,5ae61804031320002c8c9a22,Buuni Coffee,1188,Coffee Shop
161,4e3caa5e483b04e17a8c6a6d,Luen Hing Chinese Restaurant,622,Chinese Restaurant
162,4df96fe0b0fb0401c7f57c23,Bus Stop Convenience Store,555,Deli / Bodega
163,4b7f2f48f964a520561d30e3,China Wang,245,Chinese Restaurant
164,4f32453919836c91c7c7181e,Jct Coffee Shop,958,Food
165,4d38f278bb0d721ed81459e3,New Yung Hong Chinese Restaurant,566,Chinese Restaurant
166,4f03a18e9adf4efb132f038d,blue bay restaurant,296,Diner
167,4d965fd061a3a1cde4989a42,Lucky Star Chinese Restaurant,976,Chinese Restaurant
168,4c7851e03badb1f7137c4b54,Yu Hua Restaurant,1161,Chinese Restaurant
169,4f32883f19836c91c7e10279,China Wang Restaurant,324,Food
170,4b2285c5f964a520454824e3,Pioneer Chinese Restaurant,490,Chinese Restaurant
171,4ce81d330f196dcb5d2b43ae,Picante Picante Mexican Restaurant,677,Mexican Restaurant
172,4bbe1149078095214562db91,La Caridad,1028,Latin American Restaurant
173,5156f35be4b0dc046e1af723,Perista Coffee Shop,1209,Coffee Shop
174,4bd8e98811dcc928f865f833,El Malecon,607,Caribbean Restaurant
175,4e4ddf76bd4101d0d79d3e83,Panda Restaurant,659,Chinese Restaurant
176,4d0a529133d6b60cf4cf9985,Subway,463,Sandwich Place
177,4e8b34c561afcc24d9a236ca,Silhouette Restaurant & Lounge,815,Latin American Restaurant
178,4bd703fd6f649521baba71ec,Bari's,645,Pizza Place
179,4f326c9c19836c91c7d67b0a,Seven Stars Restaurant,575,Food
180,4cfecca896c63704014d5daf,Mei Fung Chinese Take Out,553,Chinese Restaurant
181,4ca785a597c8a1cd7e577ba5,El Economico Restaurant,596,Spanish Restaurant
182,4e4ddf76bd4101d0d79d3e78,Petropolis Bar & Restaurant,584,Restaurant
183,4d43516fe198721e4ab7af8b,La Tia,527,Latin American Restaurant
184,4cf8ea53de096dcb88258b79,Sazones Restaurant,730,Latin American Restaurant
185,4e4deb4dbd41b76bef95558a,King's Wok Chinese Restaurant,644,Chinese Restaurant
186,4e3448cd6284ea7e10f38a0f,Caridad Spanish Restaurant,622,Spanish Restaurant
187,4e4ddf77bd4101d0d79d3e8e,Peppino's Italian Family Restaurant,757,Italian Restaurant
188,4c5ef37c6147be9af4239609,Best Pizza,1015,Pizza Place
189,53cc26ee498e3cb77abb8666,Rooney's Oceanfront Restaurant,1132,Seafood Restaurant
190,4e1b4af3e4cdb14073933e37,El Nuevo Sabor Restaurante,897,Restaurant
191,4bd5e9f16f64952192f16fec,Blue Sky Diner,1165,Diner
192,4c9e155754c8a1cdb0d6894b,Foo Hing Restaurant,812,Chinese Restaurant
193,4f32a63a19836c91c7ec5313,Jala's Restaurant,952,Food
194,4e6181a8b993678bb5fab244,Tropical Island Restaurant,932,Spanish Restaurant
195,4f3270b019836c91c7d8042f,Dominican Bakery Restaurant,1061,Bakery
196,4b2283aff964a520204824e3,Golden Gate Chinese Restaurant,1099,Chinese Restaurant
