v_name,v_cat,avg_dist_2_neighborhood,cnt_near_neighborhood,restaurant_id
Little Rock Restaurant,Food,1012.0,1,4f328c0b19836c91c7e27047
Ocean Rock Restaurant,Food,1009.0,1,4f32390819836c91c7c24112
Despertar Restaurant,Spanish Restaurant,719.5,2,4e4e3e62bd4101d0d7a5c976
Six Train Restaurant,Fast Food Restaurant,1140.0,1,4f32a3c019836c91c7eb5f73
El Nuevo Bohio,Paella Restaurant,575.0,2,4c0e61177189c928b05ad8b6
El Bohio Lechonera Restaurant,Food,622.5,2,4f3236b819836c91c7c15b89
Edison Hispanic-American Restaurant,Spanish Restaurant,1155.0,1,4f56401be4b02285fe284e7d
Danny's Athens,Spanish Restaurant,1133.0,1,4d947b76b550a09347ea8687
"El Salvadoreño, bar & restaurante",Latin American Restaurant,424.0,1,4fe6096ce4b050ddde683b74
The New Ranch Restaurant,Diner,1127.0,1,4d28b52d068e8cfaf463c84c
Mima's Kitchen Restaurant,Restaurant,294.0,1,4e4d044dbd413c4cc66e0421
Delsur Restaurant,Food,312.0,1,4f44bcee19836ed001962a5f
Eye Adom African and American Restaurant,Food,311.0,1,4f322c7819836c91c7bd6b75
Lucky House Restaurant,Chinese Restaurant,354.0,1,4e4d0447bd413c4cc66e03f0
Audubon Restaurant,Spanish Restaurant,779.0,1,4f70b74ee4b00d1a930f3d6a
Andy Mar Restaurant,Food,396.0,1,4f329f8019836c91c7e9c670
San Francisco Restaurant,Caribbean Restaurant,1145.0,1,50549d23e4b01e4620dd4f78
Tong Yue Restaurant,Food,443.0,1,4f4356bf19834bc91f5616e6
La Fuente Restaurant,Spanish Restaurant,447.0,1,4c892021f53b236a1c77aca6
Christ Coffee Shop,Coffee Shop,1018.0,1,4c9e3dc2542b224b0d11f29f
La Nueva Win Hing Restaurant,Chinese Restaurant,416.0,1,54ea5cc4498e0bd4bf244fe5
Family Restaurant Pizzeria,Pizza Place,693.0,2,4f32589619836c91c7ceae97
Jaya Restaurant,Restaurant,1119.0,1,4c027be9f423a593f1ccce16
La Orquidea Bakery and Restaurant,Bakery,445.0,1,4f327d2619836c91c7dcbe13
Eleven Star -American restaurant,American Restaurant,426.0,1,52b5c6e6498e356a288388b6
Triple A Chinese Restaurant,Chinese Restaurant,444.0,1,4e4cf9ddbd413c4cc66dafa1
El Encanto Restaurant,Food,503.0,1,4f32165b19836c91c7b47efe
La Patrona Restaurant,Mexican Restaurant,524.0,1,59d3df56646e38563e5dbcae
Blessed One Restaurant,BBQ Joint,556.0,1,4f321ede19836c91c7b80221
Venice Restaurant & Pizzeria,Italian Restaurant,793.0,1,4bb692672ea19521a6ecab2f
Restaurant Le Qg,Food,1094.0,1,4f3252d119836c91c7cc759f
Giovanni's Pizza & Restaurant,Pizza Place,993.0,1,4c9527e7f244b1f77a22291d
Chung Ching Restaurant,Chinese Restaurant,876.0,1,4cb9f384f50e224be1bbf0fb
The Mix Coffeehaus,Café,892.0,1,548cf523498eed690b4f2584
Jimmy's Coffee Truck,Food Truck,891.0,1,4ddba1f7b0fb2604df6d360f
King Steak,American Restaurant,933.0,1,4d8e80a05091a1cd43f49101
Balimaya Restaurant,African Restaurant,1090.0,1,4cb278c2cbab236a7e25b173
Burger King,Fast Food Restaurant,831.5,2,4c617d6c13791b8dc90a52af
Las Lomas Restaurant,Food,844.0,2,4f328c7719836c91c7e29779
Star Light Pizza and Restaurant,Pizza Place,833.0,1,4f324e1619836c91c7ca9a22
Nuevo Delicioso,Mexican Restaurant,1021.0,1,4bd89d7af645c9b6e87aa8e0
Delicioso Restaurant,Spanish Restaurant,925.5,2,4c89080fbbec6dcb09a5d858
Good Choice Chinese Restaurant,Chinese Restaurant,406.5,2,4df3e68688772e1f81559d14
Adorno's Restaurant,Food,297.0,2,4f32535a19836c91c7ccab65
Ray's Pizza Restaurant,Pizza Place,499.5,2,4d308191a62d721ef0089b7d
Vithas Coffee Shop,Food,802.5,2,4f32350f19836c91c7c0bb82
Caridad,Latin American Restaurant,331.0,2,4dacdbecf7b17c2b98562401
El Cantinero Restaurant,Food,580.0,2,4f329d9719836c91c7e91238
No. 1 Wok,Chinese Restaurant,322.5,2,4db8a9470437609120f134d3
Foo Hing Chinese Restaurant,Chinese Restaurant,582.0,2,4e31c190b0fbb985a507465a
Salinas Restaurant,Food,580.5,2,4f326e5119836c91c7d71f4a
New Wok,Chinese Restaurant,310.0,2,4e0a2d13a809495e61abc928
The Locust Restaurant,Diner,666.0,1,4d7f6ca1cd09224b568d5b30
La Sabrosura Restaurant,Spanish Restaurant,623.0,1,4e4d0457bd413c4cc66e0484
Bowere Restaurant Equipment Supplies,Food,395.5,2,4f32236e19836c91c7b9e320
Lacopa Restaurant,Food,460.5,2,4f32a97319836c91c7ed85dc
KC Pizzeria,Pizza Place,762.5,2,4ca27aa51ee76dcb4d09f1dd
New Food King Restaurant Supply,Food,595.5,2,4f32796519836c91c7db5304
Fast Wok,Chinese Restaurant,579.5,2,4ddd34f11838306b8218712e
Portobello Restaurant,Italian Restaurant,722.0,2,4cbb523badcd5481304628a2
Boulevard Restaurant,Food,781.0,2,4f32980919836c91c7e6fd96
Camaquey Restaurant,Spanish Restaurant,545.0,2,4ec47796be7bd3e184cb45c6
Caribe Rest Cuchifrito Corporation,Caribbean Restaurant,549.0,2,4cea0b7d9f776ea819fc6622
Latino Restaurant,Caribbean Restaurant,612.5,2,52780002498eb891e62964cc
New Ming Qi House Restaurant,Chinese Restaurant,657.0,2,4f32396019836c91c7c26482
La Fiesta Restaurant,Mexican Restaurant,861.0,2,4f09d1d3e4b06fab1a9afaa2
Tepeyac Mexican Restaurant,Mexican Restaurant,926.0,2,4e2242d41495f18f03579baa
Santa Clarita Restaurant,Mexican Restaurant,909.5,2,4b5532fff964a52063de27e3
Los Latinos Restaurant,Food,897.0,2,4f32b44a19836c91c7f18b18
Hot Pot Restaurant,Food,894.0,2,4f32262b19836c91c7bafb04
Dragon City Restaurant,Food,938.0,2,4f32396819836c91c7c26772
Original Pizza Restaurant 361,Pizza Place,1013.5,2,4f3223f719836c91c7ba1be8
Cervantez Restaurante,Bar,843.0,1,4f89024de4b0b1c4af5dcbf6
Caridad Restaurant,Latin American Restaurant,1153.0,1,4c7b9873566db60ca6104b0e
Jetro/Restaurant Depot,Kitchen Supply Store,832.0,1,4fb10fd6e4b0ddb44ae69e3a
Mami's coffee shop,Spanish Restaurant,912.0,1,57ecd7d8498e6134d4b042ac
Restaurante Cuatro Estrellas,Food,1003.0,2,4f32321619836c91c7bf8e26
US RESTAURANT SUPPLY,Home Service,138.0,1,5b4c63c69ba3e5003949a729
Fu Xing Restaurant,Asian Restaurant,177.0,1,5891b3f60a3d543973f88c50
JCX Cafe Restaurant,Food,191.0,1,4f43415119834bc91f55905b
Club Deli Restaurant,Food,197.0,1,4f3248f419836c91c7c89801
Oliva Paraiso Restaurant No 2,Food,231.0,1,4f44af8919836ed00195d232
Chris's Coffee Shop,Coffee Shop,1050.6666666666667,3,4f327e3419836c91c7dd24ca
Fuh Wah Restaurant,Chinese Restaurant,956.6666666666666,3,4f7cca93e4b006944e44ad63
Harmon's Soul Food Restaurant,Southern / Soul Food Restaurant,331.0,1,591228589be522578357f0a5
Santos Restaurant,Food,384.0,1,4f32298a19836c91c7bc4ac5
Cocina Latina Restaurant Corp,Spanish Restaurant,752.5,2,560f055b498eff75a2589ddf
La Espiga,Mexican Restaurant,690.0,1,4c9ad25578ffa093221b7075
Margarita's Restaurant,Latin American Restaurant,579.0,1,59ade71a86bc49021ba2d24c
El Quisquelda Restaurant,Food,625.0,1,4f3270ba19836c91c7d80884
Dania's Restaurant,Food,641.0,1,4f3294fd19836c91c7e5db98
Good Taste Chinese Food,Chinese Restaurant,756.0,1,4dcab1f9c65bebb82f3ecbd3
Siza Restaurant,Food,693.0,1,4f32b38419836c91c7f13f65
J Y R Restaurant,Food,705.0,1,4f321c9e19836c91c7b71212
